video_id,frame_number,child_id,kchi_present,age,face_present,person_age_class_1,person_age_class_2,gaze_direction_1,gaze_direction_2
241,42720,258827,1,5.79,0,,,,
241,46050,258827,0,5.79,0,child,,,
241,48930,258827,0,5.79,0,,,,
241,50880,258827,0,5.79,0,,,,
241,53120,258827,0,5.79,0,child,,,
241,53150,258827,0,5.79,0,child,,,
256,740,260176,0,4.78,1,child,adult,1.0,
256,1610,260176,0,4.78,1,child,,1.0,
256,1680,260176,1,4.78,0,child,adult,,
256,1990,260176,0,4.78,1,adult,,1.0,
256,2300,260176,0,4.78,1,adult,,1.0,
256,6360,260176,0,4.78,0,child,,,
256,6530,260176,0,4.78,0,child,,,
256,7580,260176,0,4.78,0,,,,
256,10620,260176,1,4.78,0,,,,
256,11260,260176,1,4.78,0,,,,
256,11480,260176,1,4.78,0,adult,,,
256,12110,260176,0,4.78,0,adult,,,
256,12120,260176,1,4.78,0,adult,,,
256,14630,260176,1,4.78,1,child,adult,1.0,
256,15450,260176,0,4.78,0,adult,,,
256,15540,260176,1,4.78,0,child,,,
256,17170,260176,1,4.78,1,child,,1.0,
256,17930,260176,0,4.78,1,child,adult,1.0,
256,18130,260176,0,4.78,1,child,adult,1.0,
256,18190,260176,0,4.78,1,adult,,0.0,
256,19140,260176,1,4.78,1,child,adult,1.0,
256,19700,260176,1,4.78,1,child,,1.0,
256,22410,260176,1,4.78,1,child,,1.0,
256,22450,260176,0,4.78,0,child,,,
256,22810,260176,1,4.78,0,,,,
256,23820,260176,0,4.78,0,child,,,
256,23930,260176,0,4.78,1,child,,1.0,
256,24110,260176,0,4.78,0,child,,,
256,24270,260176,0,4.78,0,adult,,,
256,25630,260176,0,4.78,0,adult,,,
256,25860,260176,0,4.78,0,adult,,,
256,27110,260176,0,4.78,0,child,,,
256,27470,260176,0,4.78,1,child,,1.0,
256,28910,260176,0,4.78,0,,,,
256,31710,260176,0,4.78,1,child,,1.0,
256,31850,260176,0,4.78,1,child,adult,1.0,
256,32070,260176,1,4.78,0,child,,,
256,32170,260176,1,4.78,0,child,,,
256,32480,260176,1,4.78,1,child,,1.0,
256,34360,260176,0,4.78,1,child,,1.0,
256,34520,260176,0,4.78,1,child,adult,1.0,
256,34600,260176,0,4.78,1,child,,1.0,
256,36720,260176,0,4.78,0,child,adult,,
256,38810,260176,1,4.78,0,child,,,
256,39420,260176,0,4.78,1,adult,,1.0,
256,40030,260176,0,4.78,0,adult,,,
256,40940,260176,0,4.78,1,adult,,1.0,
256,42590,260176,1,4.78,0,,,,
256,42940,260176,0,4.78,0,child,,,
256,45440,260176,1,4.78,0,,,,
256,46300,260176,0,4.78,0,,,,
256,46330,260176,0,4.78,0,,,,
256,46570,260176,1,4.78,0,,,,
256,49390,260176,0,4.78,0,adult,,,
256,52010,260176,0,4.78,0,,,,
262,1270,260176,1,4.8,0,child,,,
262,2340,260176,1,4.8,0,,,,
262,3340,260176,1,4.8,0,,,,
262,4130,260176,0,4.8,0,,,,
262,6590,260176,0,4.8,0,,,,
262,6960,260176,0,4.8,0,,,,
262,7460,260176,0,4.8,0,,,,
262,9780,260176,0,4.8,0,,,,
262,10910,260176,0,4.8,0,child,,,
262,11440,260176,0,4.8,0,,,,
262,11570,260176,0,4.8,0,,,,
262,14930,260176,0,4.8,0,child,,,
262,29470,260176,0,4.8,0,adult,,,
262,35120,260176,0,4.8,0,adult,,,
262,35640,260176,1,4.8,0,,,,
267,230,260275,1,3.86,1,adult,,1.0,
267,590,260275,0,3.86,1,child,adult,1.0,
267,850,260275,0,3.86,1,child,adult,1.0,
267,1500,260275,0,3.86,0,adult,,,
267,2240,260275,0,3.86,1,child,adult,1.0,
267,3190,260275,0,3.86,0,child,adult,,
267,4130,260275,0,3.86,0,child,adult,,
267,4140,260275,0,3.86,0,adult,,,
267,4590,260275,0,3.86,0,adult,,,
267,5050,260275,0,3.86,0,adult,,,
267,5540,260275,1,3.86,0,child,,,
267,6830,260275,0,3.86,0,adult,,,
267,6870,260275,0,3.86,0,adult,,,
267,6920,260275,0,3.86,0,adult,,,
267,7440,260275,0,3.86,0,child,adult,,
267,7970,260275,1,3.86,1,adult,,1.0,
267,9590,260275,0,3.86,0,adult,,,
267,10010,260275,0,3.86,0,adult,,,
267,11710,260275,0,3.86,0,adult,,,
267,11790,260275,0,3.86,0,adult,,,
267,12580,260275,0,3.86,0,adult,,,
267,13170,260275,1,3.86,0,adult,,,
267,13250,260275,0,3.86,0,adult,,,
267,14190,260275,0,3.86,0,adult,,,
267,14750,260275,1,3.86,0,adult,,,
267,14770,260275,0,3.86,0,adult,,,
267,14920,260275,1,3.86,0,adult,,,
267,15260,260275,0,3.86,0,child,adult,,
267,15550,260275,0,3.86,0,adult,,,
267,16100,260275,0,3.86,0,child,adult,,
267,16970,260275,0,3.86,1,child,adult,1.0,
267,17050,260275,0,3.86,0,adult,,,
278,200,260539,0,3.88,0,child,,,
278,290,260539,0,3.88,0,child,,,
278,810,260539,0,3.88,0,child,,,
278,1270,260539,0,3.88,0,child,,,
278,3390,260539,0,3.88,0,child,,,
278,3660,260539,0,3.88,0,child,,,
